,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.209326076507568,0.2731135522683362,1.0278181552886962,0.14144391328890105,0.001,0.0001,"{'C': 0.001, 'gamma': 0.0001}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
1,2.034441518783569,0.053877199986013986,0.9491846084594726,0.005824659254268123,0.001,0.001,"{'C': 0.001, 'gamma': 0.001}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
2,2.044816732406616,0.013306112210793558,0.9296432495117187,0.012354781967561904,0.001,0.01,"{'C': 0.001, 'gamma': 0.01}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
3,2.0501154899597167,0.018406872003351383,0.9237482070922851,0.007885201569084207,0.001,0.1,"{'C': 0.001, 'gamma': 0.1}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
4,2.006153774261475,0.037002049253395675,0.918632173538208,0.015148152143877604,0.01,0.0001,"{'C': 0.01, 'gamma': 0.0001}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
5,2.0836539268493652,0.03152155964107524,0.9203800201416016,0.013377523249469813,0.01,0.001,"{'C': 0.01, 'gamma': 0.001}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
6,2.432014274597168,0.20214865877860203,0.9313226222991944,0.003293167614896911,0.01,0.01,"{'C': 0.01, 'gamma': 0.01}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
7,2.326861047744751,0.017610292191495677,0.9215447425842285,0.01276478583079437,0.01,0.1,"{'C': 0.01, 'gamma': 0.1}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
8,2.047392654418945,0.0235233134336191,0.9168128490447998,0.011172406328320906,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
9,2.041936683654785,0.01817038008954117,0.9284779548645019,0.01374076490926318,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.26887984599813014,0.29138306827747823,0.28408163265306124,0.28130474659100974,0.2953705997548639,0.28420397865490865,0.0091595012024226,13,0.2878181285164737,0.32073996042767183,0.2726612770442515,0.29278699414381754,0.32117108068540723,0.2990354881635244,0.01908685631364972
10,2.4025032997131346,0.17261249103316392,0.9881278038024902,0.11846807386480171,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.1349169525010779,0.14216435738174868,0.12597991577583414,0.1250557271909585,0.14677275672173629,0.1349779419142711,0.008604426334458778,14,0.14308225581262132,0.13794028610852976,0.1450553498892367,0.141004330852751,0.13414812286346772,0.14024606910532128,0.0038535615000061347
11,2.3295690536499025,0.016994493680226912,0.921583604812622,0.007151339594805528,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.0482525120139799,0.06449893390191898,0.05017421602787456,0.04450549450549451,0.06449893390191898,0.05438601807023739,0.008456075356061944,19,0.05562169312169313,0.05163633894622487,0.05511670628917224,0.056637466307277624,0.05163633894622487,0.05412970872211855,0.0020939348333005427
12,1.9965940952301025,0.05916139212196863,0.9178109645843506,0.010935729320780366,1,0.0001,"{'C': 1, 'gamma': 0.0001}",0.37020507909908834,0.4010427628407886,0.39743209664734325,0.3584441526881636,0.3653426004470007,0.3784933383444769,0.01738252056070958,12,0.39777553168885416,0.42481069459702075,0.3781054846764838,0.4119815827633716,0.4112292275234424,0.4047805042498346,0.015844724035343382
13,1.4319698333740234,0.015412285912201437,0.8181825637817383,0.010376403595353589,1,0.001,"{'C': 1, 'gamma': 0.001}",0.716774304490255,0.6851397524735782,0.7128516844230083,0.687726316996741,0.6773670519911602,0.6959718220749485,0.01580590132351132,7,0.7769023676552401,0.7871366035903096,0.7769383254822139,0.7790505419631883,0.7848309947870344,0.7809717666955973,0.0042289151432499325
14,2.298232364654541,0.017424160217954714,0.9283043384552002,0.015980554064796468,1,0.01,"{'C': 1, 'gamma': 0.01}",0.6582747358682073,0.6824121397016457,0.6254383099365719,0.7214984197888248,0.6531977946748583,0.6681642799940216,0.03223302423625495,11,0.9743084201967154,0.9760047094420389,0.9697950013834274,0.9743847487368718,0.9787904062653803,0.9746566572048868,0.002923560387075646
15,2.3733891010284425,0.01073160454380407,0.9339405536651612,0.014254563365833157,1,0.1,"{'C': 1, 'gamma': 0.1}",0.05533329896375729,0.07162481759170734,0.05017421602787456,0.05158163265306122,0.06449893390191898,0.058642579827663875,0.008189711602853063,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,1.3596394538879395,0.04312016394350207,0.7777374267578125,0.012857743676619526,10,0.0001,"{'C': 10, 'gamma': 0.0001}",0.7173081006657952,0.6827204687250226,0.7225266211121852,0.691275173828109,0.6734881955229446,0.6974637119708114,0.019248042975827304,6,0.7766988846859629,0.785701377125651,0.7796097061480829,0.7754277748228321,0.7838587687528213,0.7802593023070701,0.003975287251571396
